Product,Seller_ID,Item_Category,Subcategory_1,Subcategory_2,General_Rating,Listing_Date,Purchase_Date
P-9876,B-2586,clothing,women s clothing,ethnic wear,3.7,11/5/15,11/20/21
P-9181,B-2362,clothing,women s clothing,western wear,2.9,11/6/15,6/22/21
P-8205,B-2679,clothing,men s clothing,shirts,1.9,12/12/15,4/15/21
P-8092,B-3078,clothing,kids clothing,infants wear,2.6,12/12/15,12/15/21
P-8452,B-2679,clothing,men s clothing,jeans,4,12/12/15,7/13/21
P-1180,B-3078,clothing,women s clothing,ethnic wear,3.4,12/12/15,6/10/21
P-9092,B-3078,clothing,women s clothing,ethnic wear,2.5,12/29/15,5/19/21
P-188,B-3078,clothing,women s clothing,western wear,3.3,12/30/15,10/6/21
P-7837,B-3078,clothing,women s clothing,accessories,4.6,1/1/16,1/21/21
P-6551,B-3078,clothing,women s clothing,western wear,1.2,1/12/16,8/13/21
P-5962,B-3078,clothing,women s clothing,western wear,1.2,1/12/16,2/28/21
P-6489,B-3078,clothing,women s clothing,western wear,3.3,1/12/16,2/23/21
P-6327,B-3078,clothing,women s clothing,western wear,1.4,1/12/16,3/26/21
P-8123,B-3078,clothing,women s clothing,ethnic wear,1.5,1/12/16,9/22/21
P-6138,B-3078,clothing,women s clothing,western wear,2.2,1/12/16,5/3/21
P-5005,B-3078,clothing,women s clothing,ethnic wear,2.2,1/12/16,4/2/21
P-9659,B-3078,clothing,women s clothing,lingerie sleep swimwear,3.3,2/1/16,12/28/21
P-10061,B-2650,clothing,women s clothing,ethnic wear,3.1,3/3/16,5/12/21
P-9567,B-2484,clothing,women s clothing,sports gym wear,3,3/3/16,
P-1434,B-253,clothing,women s clothing,ethnic wear,2.5,3/3/16,4/14/21
P-10956,B-2902,clothing,men s clothing,accessories combo sets,1.8,3/6/16,1/31/21
P-11456,B-3056,clothing,kids clothing,infants wear,3.1,3/18/16,5/4/21
P-1389,B-3078,clothing,women s clothing,western wear,4.3,4/1/16,1/20/21
P-9316,B-2667,clothing,men s clothing,jeans,3,4/12/16,7/29/21
P-2254,B-519,clothing,men s clothing,shirts,4.4,5/3/16,11/22/21
P-2203,B-3078,clothing,women s clothing,western wear,4,6/1/16,4/14/21
P-4420,B-3078,clothing,women s clothing,sports gym wear,3,6/1/16,4/6/21
P-9843,B-3078,clothing,women s clothing,western wear,1.8,6/1/16,
P-12335,B-3078,clothing,women s clothing,western wear,3.7,6/1/16,4/21/21
P-10214,B-3078,clothing,women s clothing,western wear,3.2,6/1/16,8/20/21
P-10979,B-3078,clothing,women s clothing,western wear,2.3,6/1/16,2/28/21
P-1464,B-3078,clothing,women s clothing,western wear,4.2,6/1/16,12/10/21
P-5391,B-3078,clothing,men s clothing,jewlook men s clothing,2.6,6/1/16,11/21/21
P-5471,B-3078,clothing,men s clothing,shirts,3.6,6/12/16,9/6/21
P-6122,B-3078,clothing,men s clothing,shirts,1,6/12/16,8/19/21
P-5106,B-3078,clothing,men s clothing,shirts,4,6/12/16,2/19/21
P-4816,B-3078,clothing,men s clothing,t shirts,3,7/1/16,5/31/21
P-11108,B-2201,clothing,women s clothing,lingerie sleep swimwear,1.3,7/1/16,9/19/21
P-8209,B-1157,clothing,women s clothing,lingerie sleep swimwear,2.6,7/1/16,9/6/21
P-11433,B-2201,clothing,women s clothing,lingerie sleep swimwear,3.7,7/1/16,1/29/21
P-11549,B-2201,clothing,women s clothing,lingerie sleep swimwear,1.8,7/1/16,
P-2988,B-3078,clothing,men s clothing,t shirts,2.3,7/1/16,11/27/21
P-8430,B-1154,clothing,women s clothing,lingerie sleep swimwear,3.8,7/1/16,5/22/21
P-2293,B-680,clothing,women s clothing,lingerie sleep swimwear,2.2,7/1/16,9/10/21
P-10683,B-3078,clothing,women s clothing,western wear,4.7,7/1/16,2/14/21
P-6666,B-3231,clothing,women s clothing,lingerie sleep swimwear,1.3,7/1/16,3/1/21
P-11107,B-334,clothing,women s clothing,lingerie sleep swimwear,3.7,7/1/16,8/20/21
P-12339,B-3078,clothing,men s clothing,winter seasonal wear,1.4,7/1/16,11/8/21
P-11390,B-3078,clothing,women s clothing,western wear,2.1,7/1/16,10/29/21
P-6599,B-397,clothing,women s clothing,lingerie sleep swimwear,3,7/1/16,
P-2385,B-3078,clothing,women s clothing,western wear,4.2,7/1/16,11/4/21
P-12386,B-1686,clothing,women s clothing,lingerie sleep swimwear,1.4,7/1/16,8/8/21
P-4315,B-1116,clothing,women s clothing,western wear,1.8,7/6/16,2/28/21
P-8358,B-2196,clothing,women s clothing,sports gym wear,3.9,10/5/16,7/30/21
P-1802,B-392,clothing,kids clothing,girls wear,1.8,10/5/16,12/6/21
P-3005,B-770,clothing,women s clothing,dolz women s clothing,1.8,10/5/16,5/4/21
P-89,B-16,clothing,women s clothing,western wear,3.4,11/3/16,3/24/21
P-2513,B-616,clothing,men s clothing,shirts,1.1,11/6/16,3/22/21
P-3154,B-812,clothing,men s clothing,shirts,4.1,12/3/16,8/21/21
P-8335,B-2185,clothing,women s clothing,western wear,3.1,12/6/16,7/31/21
P-8844,B-2679,clothing,men s clothing,shirts,3.6,12/12/16,3/3/21
P-8453,B-3078,clothing,men s clothing,t shirts,4.8,12/12/16,5/29/21
P-8206,B-2679,clothing,men s clothing,shirts,3.7,12/12/16,7/16/21
P-1679,B-3078,clothing,men s clothing,jeans,2.9,12/12/16,10/22/21
P-7796,B-3078,clothing,men s clothing,t shirts,3.1,12/13/16,1/13/21
P-472,B-3078,clothing,women s clothing,western wear,4.3,1/1/17,12/24/21
P-5214,B-3078,clothing,women s clothing,western wear,4.4,1/12/17,4/17/21
P-1532,B-3078,clothing,women s clothing,ethnic wear,1.4,1/12/17,4/14/21
P-5639,B-3078,clothing,women s clothing,western wear,3,1/12/17,10/24/21
P-7203,B-3078,clothing,women s clothing,western wear,4.2,1/12/17,5/17/21
P-5010,B-3078,clothing,women s clothing,ethnic wear,1.1,1/12/17,9/4/21
P-6193,B-3078,clothing,women s clothing,western wear,3.6,1/12/17,2/26/21
P-6964,B-3078,clothing,women s clothing,western wear,1.5,1/12/17,7/12/21
P-6539,B-1721,clothing,kids clothing,girls wear,1.7,2/4/17,12/14/21
P-11714,B-3144,clothing,women s clothing,western wear,4.4,2/4/17,7/27/21
P-3912,B-1009,clothing,men s clothing,ethnic wear,2.9,3/3/17,7/15/21
P-3343,B-863,clothing,women s clothing,western wear,4.6,3/3/17,6/16/21
P-6216,B-1635,clothing,women s clothing,ethnic wear,2.1,3/3/17,7/25/21
P-2564,B-642,clothing,women s clothing,sports gym wear,2.8,3/3/17,5/19/21
P-7009,B-1851,clothing,women s clothing,western wear,2.9,3/3/17,4/1/21
P-2608,B-658,clothing,women s clothing,ethnic wear,4.1,3/3/17,8/2/21
P-181,B-3078,clothing,women s clothing,ethnic wear,3.7,3/12/17,2/10/21
P-4820,B-3078,clothing,women s clothing,western wear,3.1,4/1/17,4/26/21
P-11683,B-3133,clothing,men s clothing,sports wear,2.5,5/3/17,7/26/21
P-199,B-54,clothing,women s clothing,ethnic wear,1.4,5/5/17,3/8/21
P-1705,B-3078,clothing,kids clothing,girls wear,5,6/1/17,4/4/21
P-8112,B-3078,clothing,women s clothing,western wear,4.4,6/1/17,8/6/21
P-5466,B-2679,clothing,men s clothing,shirts,1.1,6/12/17,9/12/21
P-5014,B-2372,clothing,men s clothing,shirts,1.2,6/12/17,5/12/21
P-12022,B-3209,clothing,men s clothing,winter seasonal wear,2.6,6/13/17,11/6/21
P-4021,B-3078,clothing,women s clothing,western wear,4.6,7/1/17,12/12/21
P-4955,B-3078,clothing,women s clothing,ethnic wear,3.7,7/1/17,5/31/21
P-11091,B-3231,clothing,women s clothing,lingerie sleep swimwear,2,7/1/17,1/27/21
P-6325,B-3078,clothing,women s clothing,western wear,3.9,7/1/17,6/12/21
P-9307,B-3231,clothing,women s clothing,lingerie sleep swimwear,3.9,7/1/17,11/3/21
P-11089,B-378,clothing,women s clothing,lingerie sleep swimwear,1.6,7/1/17,5/18/21
P-8851,B-334,clothing,women s clothing,lingerie sleep swimwear,5,7/1/17,1/6/21
P-7804,B-679,clothing,women s clothing,lingerie sleep swimwear,2.6,7/1/17,3/27/21
P-9787,B-3078,clothing,women s clothing,western wear,3.5,7/1/17,5/20/21
P-3830,B-3078,clothing,women s clothing,ethnic wear,4.3,7/1/17,10/27/21
P-6490,B-3078,clothing,women s clothing,ethnic wear,3.1,7/1/17,7/26/21
P-2400,B-705,clothing,women s clothing,lingerie sleep swimwear,1.5,7/1/17,12/8/21
P-6201,B-334,clothing,women s clothing,lingerie sleep swimwear,5,7/1/17,9/8/21
P-6713,B-378,clothing,women s clothing,lingerie sleep swimwear,1,7/1/17,11/18/21
P-2604,B-3078,clothing,kids clothing,girls wear,3.7,7/1/17,3/5/21
P-12391,B-2355,clothing,women s clothing,lingerie sleep swimwear,1,7/1/17,2/7/21
P-6196,B-334,clothing,women s clothing,lingerie sleep swimwear,5,7/1/17,4/18/21
P-4514,B-3078,clothing,women s clothing,western wear,4.6,7/1/17,4/26/21
P-6608,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.6,7/1/17,10/30/21
P-4530,B-3078,clothing,women s clothing,ethnic wear,1.8,7/1/17,2/9/21
P-3709,B-3078,clothing,women s clothing,western wear,2.3,7/1/17,1/28/21
P-5899,B-1552,clothing,women s clothing,ethnic wear,2.3,7/3/17,6/16/21
P-466,B-113,clothing,women s clothing,western wear,2.3,10/5/17,12/16/21
P-7067,B-1878,clothing,women s clothing,western wear,3.2,10/5/17,12/14/21
P-1612,B-323,clothing,kids clothing,girls wear,4.6,11/3/17,1/10/21
P-7633,B-2041,clothing,kids clothing,girls wear,2.3,11/3/17,7/16/21
P-8870,B-2292,clothing,kids clothing,girls wear,2.3,11/3/17,8/16/21
P-4243,B-1097,clothing,kids clothing,boys wear,1.1,12/5/17,12/8/21
P-3886,B-1000,clothing,women s clothing,western wear,3.7,12/5/17,8/22/21
P-6429,B-1670,clothing,kids clothing,infants wear,3,12/6/17,5/3/21
P-8824,B-2679,clothing,kids clothing,boys wear,2.6,12/12/17,11/27/21
P-6943,B-3078,clothing,women s clothing,western wear,4.4,12/12/17,8/1/21
P-9112,B-3078,clothing,women s clothing,ethnic wear,2,12/12/17,7/25/21
P-6516,B-3078,clothing,kids clothing,boys wear,1.3,12/12/17,9/10/21
P-11851,B-3078,clothing,women s clothing,lingerie sleep swimwear,4,12/12/17,2/6/21
P-10696,B-3078,clothing,women s clothing,leggings jeggings,1.8,12/12/17,12/11/21
P-8043,B-3078,clothing,kids clothing,girls wear,4,12/12/17,5/21/21
P-6274,B-3078,clothing,women s clothing,western wear,4.7,12/30/17,12/15/21
P-8442,B-2222,clothing,kids clothing,girls wear,1.1,1/5/18,8/7/21
P-6791,B-3078,clothing,women s clothing,western wear,1.5,1/12/18,9/24/21
P-7179,B-3078,clothing,women s clothing,western wear,2.2,1/12/18,3/19/21
P-6164,B-3078,clothing,women s clothing,western wear,3.8,1/12/18,3/29/21
P-5860,B-3078,clothing,women s clothing,western wear,4.7,1/12/18,4/13/21
P-6827,B-3078,clothing,women s clothing,ethnic wear,2.4,1/12/18,9/12/21
P-7161,B-1911,clothing,men s clothing,winter seasonal wear,2.8,2/4/18,8/28/21
P-7892,B-2102,clothing,women s clothing,formal wear,4.9,2/6/18,
P-6217,B-1635,clothing,women s clothing,ethnic wear,1.9,3/3/18,12/9/21
P-2334,B-3078,clothing,women s clothing,western wear,2.7,3/12/18,10/26/21
P-10028,B-3078,clothing,men s clothing,cargos shorts 3 4ths,5,4/1/18,9/7/21
P-6392,B-3078,clothing,men s clothing,jeans,2.8,4/12/18,5/17/21
P-10900,B-3078,clothing,women s clothing,western wear,4.9,6/1/18,5/20/21
P-9746,B-3078,clothing,kids clothing,girls wear,1.1,6/1/18,5/29/21
P-1626,B-3078,clothing,women s clothing,western wear,4.4,6/1/18,1/20/21
P-6389,B-2679,clothing,men s clothing,shirts,2,6/12/18,8/23/21
P-6366,B-2372,clothing,men s clothing,shirts,4,6/12/18,4/27/21
P-5474,B-3078,clothing,men s clothing,shirts,3.2,6/12/18,1/31/21
P-2244,B-3078,clothing,women s clothing,ethnic wear,5,7/1/18,3/28/21
P-12190,B-449,clothing,women s clothing,lingerie sleep swimwear,3.3,7/1/18,7/20/21
P-6687,B-1936,clothing,women s clothing,lingerie sleep swimwear,1.2,7/1/18,4/26/21
P-4277,B-3231,clothing,women s clothing,lingerie sleep swimwear,1.6,7/1/18,11/9/21
P-5152,B-3231,clothing,women s clothing,lingerie sleep swimwear,4.8,7/1/18,4/25/21
P-6603,B-1841,clothing,women s clothing,lingerie sleep swimwear,3,7/1/18,11/15/21
P-9615,B-1154,clothing,women s clothing,lingerie sleep swimwear,4.3,7/1/18,7/26/21
P-3722,B-3078,clothing,women s clothing,western wear,3.7,7/1/18,3/7/21
P-4565,B-2201,clothing,women s clothing,lingerie sleep swimwear,4,7/1/18,7/7/21
P-3810,B-1690,clothing,women s clothing,lingerie sleep swimwear,4.7,7/1/18,7/10/21
P-12179,B-2355,clothing,women s clothing,lingerie sleep swimwear,5,7/1/18,6/24/21
P-8378,B-378,clothing,women s clothing,lingerie sleep swimwear,3.3,7/1/18,11/24/21
P-4842,B-3078,clothing,women s clothing,western wear,2.4,7/1/18,8/11/21
P-2391,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.7,7/1/18,11/24/21
P-6689,B-378,clothing,women s clothing,lingerie sleep swimwear,1.2,7/1/18,11/16/21
P-8219,B-2175,clothing,women s clothing,western wear,1.5,10/5/18,1/24/21
P-2427,B-580,clothing,women s clothing,western wear,3.5,10/6/18,8/3/21
P-1531,B-285,clothing,women s clothing,western wear,4.5,11/3/18,9/26/21
P-11545,B-3083,clothing,women s clothing,fusion wear,1.4,11/3/18,4/20/21
P-10584,B-2770,clothing,men s clothing,sports wear,2,11/4/18,10/9/21
P-12506,B-3339,clothing,kids clothing,boys wear,1.9,12/5/18,8/25/21
P-6060,B-1593,clothing,kids clothing,girls wear,3,12/6/18,3/15/21
P-8226,B-3078,clothing,women s clothing,western wear,4.8,12/12/18,6/1/21
P-9084,B-3078,clothing,men s clothing,winter seasonal wear,1,12/12/18,6/1/21
P-8790,B-2679,clothing,men s clothing,jeans,2.1,12/12/18,1/29/21
P-2505,B-3078,clothing,women s clothing,western wear,4.4,1/1/19,4/7/21
P-2097,B-467,clothing,women s clothing,sports gym wear,1.2,1/4/19,10/24/21
P-5249,B-1402,clothing,kids clothing,boys wear,3.5,1/5/19,12/25/21
P-2066,B-3078,clothing,women s clothing,ethnic wear,1.3,1/12/19,4/17/21
P-8163,B-3078,clothing,women s clothing,western wear,5,1/12/19,7/28/21
P-6185,B-3078,clothing,women s clothing,western wear,4.5,1/12/19,3/17/21
P-6690,B-3078,clothing,women s clothing,western wear,4.1,1/12/19,5/22/21
P-7123,B-3078,clothing,women s clothing,western wear,2,1/12/19,1/11/21
P-6962,B-3078,clothing,women s clothing,western wear,4.1,1/12/19,7/31/21
P-5406,B-3078,clothing,women s clothing,ethnic wear,4.1,1/12/19,
P-7000,B-3078,clothing,women s clothing,western wear,2.7,1/12/19,3/2/21
P-5859,B-3078,clothing,women s clothing,western wear,1.5,1/12/19,4/28/21
P-12200,B-3252,clothing,women s clothing,lingerie sleep swimwear,4.9,2/3/19,3/5/21
P-1045,B-143,clothing,women s clothing,lingerie sleep swimwear,2.8,2/4/19,8/18/21
P-3713,B-3078,clothing,women s clothing,fusion wear,2.2,3/1/19,11/23/21
P-9983,B-2613,clothing,women s clothing,ethnic wear,4.6,3/3/19,1/1/22
P-3342,B-863,clothing,women s clothing,western wear,4.3,3/3/19,5/27/21
P-3344,B-863,clothing,women s clothing,western wear,3.9,3/3/19,8/26/21
P-2779,B-3078,clothing,women s clothing,western wear,2.8,4/12/19,8/17/21
P-1767,B-379,clothing,men s clothing,shirts,3.5,5/3/19,2/24/21
P-6715,B-1773,clothing,men s clothing,inner wear sleep wear,1.1,5/5/19,4/12/21
P-6700,B-3078,clothing,women s clothing,western wear,1.4,6/1/19,5/22/21
P-6011,B-3078,clothing,women s clothing,western wear,1.1,6/1/19,3/9/21
P-10839,B-3078,clothing,women s clothing,western wear,4.3,6/1/19,6/3/21
P-5105,B-2679,clothing,men s clothing,shirts,3.1,6/12/19,7/17/21
P-5807,B-2679,clothing,men s clothing,shirts,2.9,6/12/19,1/22/21
P-5499,B-2679,clothing,men s clothing,shirts,1.5,6/12/19,7/5/21
P-10051,B-3078,clothing,women s clothing,western wear,3.7,7/1/19,7/18/21
P-1672,B-3078,clothing,kids clothing,girls wear,4.7,7/1/19,12/4/21
P-3927,B-3078,clothing,women s clothing,western wear,4.6,7/1/19,1/1/21
P-2411,B-2281,clothing,women s clothing,lingerie sleep swimwear,3.2,7/1/19,8/3/21
P-2210,B-3078,clothing,women s clothing,western wear,3,7/1/19,8/9/21
P-8436,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.4,7/1/19,5/2/21
P-3042,B-3078,clothing,women s clothing,western wear,2.8,7/1/19,1/24/21
P-8765,B-1936,clothing,women s clothing,lingerie sleep swimwear,4.5,7/1/19,4/1/21
P-7961,B-3231,clothing,women s clothing,lingerie sleep swimwear,2.5,7/1/19,7/4/21
P-10185,B-3078,clothing,men s clothing,t shirts,1.3,7/1/19,
P-2721,B-3231,clothing,women s clothing,lingerie sleep swimwear,2.2,7/1/19,6/16/21
P-11613,B-378,clothing,women s clothing,lingerie sleep swimwear,3.2,7/1/19,8/28/21
P-3754,B-3078,clothing,men s clothing,cargos shorts 3 4ths,4.4,7/1/19,8/6/21
P-9833,B-3231,clothing,women s clothing,lingerie sleep swimwear,4.2,7/1/19,1/19/21
P-4387,B-449,clothing,women s clothing,lingerie sleep swimwear,1.5,7/1/19,6/7/21
P-2261,B-2049,clothing,women s clothing,lingerie sleep swimwear,4.6,7/1/19,2/23/21
P-12182,B-334,clothing,women s clothing,lingerie sleep swimwear,1.7,7/1/19,5/13/21
P-4281,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.1,7/1/19,12/24/21
P-9108,B-3078,clothing,women s clothing,western wear,3.3,7/1/19,6/15/21
P-3555,B-3078,clothing,women s clothing,lingerie sleep swimwear,2.5,7/1/19,9/16/21
P-12387,B-449,clothing,women s clothing,lingerie sleep swimwear,4.3,7/1/19,8/5/21
P-11680,B-3078,clothing,women s clothing,western wear,3.6,7/1/19,6/2/21
P-2412,B-574,clothing,women s clothing,western wear,2.3,7/6/19,10/6/21
P-8225,B-2175,clothing,women s clothing,winter seasonal wear,4.2,10/5/19,9/27/21
P-7349,B-1970,clothing,kids clothing,girls wear,2,10/5/19,12/1/21
P-3105,B-798,clothing,kids clothing,boys wear,3.4,10/5/19,9/27/21
P-7721,B-2054,clothing,kids clothing,boys wear,1.4,10/6/19,1/1/22
P-5271,B-1407,clothing,kids clothing,girls wear,2.1,11/3/19,5/11/21
P-8100,B-2140,clothing,women s clothing,western wear,1.5,11/3/19,5/3/21
P-6776,B-1801,clothing,men s clothing,shirts,1.9,12/3/19,6/5/21
P-8488,B-2679,clothing,men s clothing,jeans,1.1,12/12/19,1/12/21
P-8787,B-3078,clothing,kids clothing,boys wear,4.9,12/12/19,1/6/21
P-5178,B-2679,clothing,men s clothing,jeans,1.7,12/12/19,10/17/21
P-7551,B-3078,clothing,men s clothing,t shirts,2,12/13/19,10/31/21
P-7590,B-3078,clothing,women s clothing,western wear,4.5,1/1/20,2/13/21
P-3910,B-3078,clothing,women s clothing,western wear,2.4,1/1/20,4/15/21
P-3579,B-3078,clothing,women s clothing,western wear,4,1/1/20,1/10/21
P-7569,B-2022,clothing,kids clothing,boys wear,1.7,1/5/20,11/27/21
P-1997,B-430,clothing,women s clothing,fusion wear,1.2,1/6/20,10/15/21
P-10045,B-2643,clothing,women s clothing,lingerie sleep swimwear,3.7,2/4/20,6/24/21
P-5054,B-1333,clothing,women s clothing,western wear,4.8,3/3/20,1/21/21
P-2724,B-706,clothing,women s clothing,ethnic wear,3.7,3/3/20,10/12/21
P-9753,B-2540,clothing,women s clothing,western wear,1.1,3/3/20,11/16/21
P-11519,B-3078,clothing,women s clothing,winter seasonal wear,3,6/1/20,5/18/21
P-7310,B-3078,clothing,kids clothing,girls wear,2.4,6/1/20,2/12/21
P-3218,B-3078,clothing,men s clothing,elite neckties men s clothing,3.9,6/1/20,5/6/21
P-10724,B-3078,clothing,kids clothing,boys wear,4.7,6/1/20,5/27/21
P-11550,B-2281,clothing,women s clothing,lingerie sleep swimwear,2.9,7/1/20,7/11/21
P-3929,B-3078,clothing,men s clothing,t shirts,3.8,7/1/20,10/18/21
P-9977,B-3231,clothing,women s clothing,lingerie sleep swimwear,2.7,7/1/20,
P-11880,B-3078,clothing,men s clothing,t shirts,3.2,7/1/20,
P-9730,B-378,clothing,women s clothing,lingerie sleep swimwear,3.8,7/1/20,5/21/21
P-4529,B-3078,clothing,women s clothing,fusion wear,3.8,7/1/20,6/14/21
P-4562,B-449,clothing,women s clothing,lingerie sleep swimwear,2.2,7/1/20,7/13/21
P-474,B-3078,clothing,women s clothing,leggings jeggings,1.5,7/1/20,4/23/21
P-9248,B-3078,clothing,women s clothing,western wear,2.2,7/1/20,12/20/21
P-7224,B-3231,clothing,women s clothing,lingerie sleep swimwear,3.5,7/1/20,12/30/21
P-4287,B-3231,clothing,women s clothing,lingerie sleep swimwear,1.7,7/1/20,3/2/21
P-5540,B-378,clothing,women s clothing,lingerie sleep swimwear,2.6,7/1/20,9/26/21
P-6523,B-3078,clothing,men s clothing,t shirts,2,7/1/20,3/18/21
P-3227,B-3078,clothing,women s clothing,western wear,3.2,7/1/20,3/4/21
P-9422,B-3231,clothing,women s clothing,lingerie sleep swimwear,1.4,7/1/20,6/1/21
P-4600,B-2679,clothing,men s clothing,shirts,1.5,7/1/20,2/10/21
P-3815,B-2355,clothing,women s clothing,lingerie sleep swimwear,5,7/1/20,7/7/21
P-15,B-2666,clothing,women s clothing,lingerie sleep swimwear,5,7/1/20,8/26/21
P-2122,B-3078,clothing,men s clothing,t shirts,1.9,7/1/20,5/3/21
P-3581,B-3078,clothing,women s clothing,western wear,3.5,7/1/20,
P-7807,B-681,clothing,women s clothing,lingerie sleep swimwear,1,7/1/20,8/7/21
P-2292,B-397,clothing,women s clothing,lingerie sleep swimwear,1.8,7/1/20,5/1/21
P-1670,B-3078,clothing,kids clothing,girls wear,2.4,7/1/20,12/12/21
P-4513,B-3078,clothing,women s clothing,western wear,5,7/1/20,9/9/21
P-7061,B-3078,clothing,women s clothing,fusion wear,2.1,7/1/20,9/6/21
P-12020,B-3208,clothing,men s clothing,inner wear sleep wear,3.6,10/5/20,5/5/21
P-6475,B-1695,clothing,kids clothing,girls wear,4,10/5/20,6/15/21
P-11711,B-3144,clothing,women s clothing,western wear,3.8,11/3/20,10/31/21
P-3423,B-885,clothing,women s clothing,western wear,4.8,12/5/20,7/16/21
P-6788,B-1808,clothing,women s clothing,western wear,1.7,12/5/20,1/31/21
P-7149,B-1907,clothing,women s clothing,ethnic wear,4.4,12/6/20,8/24/21
P-7691,B-3078,clothing,men s clothing,t shirts,4.2,12/13/12,9/11/21
P-7677,B-3078,clothing,men s clothing,t shirts,4.2,12/13/12,
P-7875,B-3078,clothing,men s clothing,t shirts,3.1,12/13/12,5/7/21
P-7531,B-3078,clothing,men s clothing,t shirts,1.1,12/13/12,10/2/21
P-7756,B-3078,clothing,men s clothing,t shirts,4.7,12/13/12,2/12/21
P-7673,B-3078,clothing,men s clothing,t shirts,2.3,12/13/12,1/2/21
P-7676,B-3078,clothing,men s clothing,t shirts,4.4,12/13/12,6/1/21
P-7651,B-3078,clothing,men s clothing,t shirts,4.9,12/13/12,3/3/21
P-7839,B-3078,clothing,men s clothing,t shirts,3.8,12/13/12,
P-7644,B-3078,clothing,men s clothing,t shirts,3.5,12/13/14,2/11/21
P-7674,B-3078,clothing,men s clothing,t shirts,3.8,12/13/14,7/12/21
P-7671,B-3078,clothing,men s clothing,t shirts,3.7,12/13/14,1/26/21
P-7982,B-3078,clothing,men s clothing,t shirts,4.1,12/13/14,10/1/21
P-7874,B-3078,clothing,men s clothing,t shirts,4.8,12/13/14,12/20/21
P-7692,B-3078,clothing,men s clothing,t shirts,2.9,12/13/14,2/21/21
P-7565,B-3078,clothing,men s clothing,t shirts,3.7,12/13/15,2/14/21
P-7962,B-3078,clothing,men s clothing,t shirts,1.9,12/13/15,12/20/21
P-7672,B-3078,clothing,men s clothing,t shirts,1.3,12/13/15,2/16/21
P-7688,B-3078,clothing,men s clothing,t shirts,3.4,12/13/15,11/27/21
P-7941,B-3078,clothing,men s clothing,t shirts,1.3,12/13/16,7/8/21
P-7643,B-3078,clothing,men s clothing,t shirts,4.2,12/13/16,12/11/21
P-7976,B-3078,clothing,men s clothing,t shirts,2.4,12/13/16,10/24/21
P-7567,B-3078,clothing,men s clothing,t shirts,1.1,12/13/16,8/10/21
P-7690,B-3078,clothing,men s clothing,t shirts,4.1,12/13/16,2/20/21
P-7634,B-3078,clothing,men s clothing,t shirts,1.2,12/13/16,6/5/21
P-7648,B-3078,clothing,men s clothing,t shirts,1.5,12/13/16,5/16/21
P-7795,B-3078,clothing,men s clothing,t shirts,2.8,12/13/16,1/1/22
P-7647,B-3078,clothing,men s clothing,t shirts,2.3,12/13/17,7/17/21
P-7798,B-3078,clothing,men s clothing,t shirts,4.1,12/13/17,2/15/21
P-7879,B-3078,clothing,men s clothing,t shirts,1.9,12/13/17,10/16/21
P-7838,B-3078,clothing,men s clothing,t shirts,3.2,12/13/17,1/7/21
P-7684,B-3078,clothing,men s clothing,t shirts,2.6,12/13/17,3/28/21
P-7548,B-3078,clothing,men s clothing,t shirts,2.8,12/13/18,9/30/21
P-7791,B-3078,clothing,men s clothing,t shirts,1.7,12/13/18,3/31/21
P-7755,B-3078,clothing,men s clothing,t shirts,4.1,12/13/18,2/5/21
P-7617,B-3078,clothing,men s clothing,t shirts,5,12/13/18,10/16/21
P-7865,B-3078,clothing,men s clothing,t shirts,3.5,12/13/19,1/30/21
P-7757,B-3078,clothing,men s clothing,t shirts,2.3,12/13/19,3/14/21
P-7984,B-3078,clothing,men s clothing,t shirts,1.4,12/13/19,8/31/21
P-7794,B-3078,clothing,men s clothing,t shirts,3.2,12/13/19,12/31/21
P-7911,B-3078,clothing,men s clothing,t shirts,3.2,12/13/19,8/26/21
P-11515,B-3076,clothing,kids clothing,infants wear,1.5,4/13/13,5/26/21
P-4053,B-1051,clothing,women s clothing,western wear,2.7,4/13/14,9/12/21
P-10677,B-2801,clothing,women s clothing,western wear,5,4/13/16,7/16/21
P-3748,B-960,clothing,women s clothing,combo sets,1.4,4/13/18,
P-3551,B-916,clothing,men s clothing,t shirts,1.7,6/13/13,4/23/21
P-5675,B-1516,clothing,women s clothing,ethnic wear,4.7,6/13/14,5/15/21
P-10002,B-2622,clothing,women s clothing,ethnic wear,3.5,6/13/16,1/18/21
P-5799,B-1519,clothing,women s clothing,winter seasonal wear,1.2,6/13/17,1/24/21
P-1546,B-293,clothing,women s clothing,ethnic wear,2.5,6/13/18,
P-4817,B-1270,clothing,men s clothing,sports wear,3.6,6/13/19,12/19/21
P-8476,B-2233,clothing,women s clothing,maternity wear,4.7,6/13/19,5/2/21
P-4814,B-1269,clothing,men s clothing,inner wear sleep wear,3.2,6/14/16,
P-6071,B-1595,clothing,kids clothing,girls wear,1.6,6/14/17,11/20/21
P-12065,B-3078,clothing,men s clothing,t shirts,3.5,12/15/15,2/28/21
P-12229,B-3078,clothing,men s clothing,t shirts,4.5,12/15/17,4/9/21
P-12157,B-3078,clothing,men s clothing,t shirts,3.3,12/15/17,3/24/21
